Agency Name,County,Phone Number,Hours of Operation,Location,Additional Address Info.
Emmanuel SDA Church,St. Louis City,314-482-2594,"Tues & Thurs 10:00-12:30, 1st Sun 12:00-2:00","3802 N Grand
St. Louis, MO 63104
(38.61984, -90.229908)",
Cameron Food Pantry,Clinton,816-632-3663,Mon & Wed 8:30-11:00,"808 North Walnut Street
Cameron, MO 64429
(39.74694, -94.235434)",Rear
Open Door Service Center,Pettis,660-827-1613,Mon-Thurs 9:00-2:00,"111 West 6th Street
Sedalia, MO 65301
(38.705993, -93.228454)",
Hickory County Cares,Hickory,417-459-4639,Wed following the 2nd Tues 8:00-12:00,"240 North Main
Wheatland, MO 65779
(37.150979, -92.768059)",
Community Services League,Jackson,816-254-8209,Wed 9:00-3:00,"14500 East 39Th Street
Independence, MO 64055
(39.049756, -94.406834)",
Farmington Ministerial Alliance,St. Francois,573-756-1917,"Mon, Wed, Fri 9:00-12:00","4327 Showplace Drive
Farmington, MO 63640
(37.804434, -90.447616)",
St. Joseph Church - Svdp,St. Francois,573-756-0997,Tues & Fri 9:00-12:00,"404 East Liberty Street
Farmington, MO 63640
(37.780658, -90.415637)",
Salvation Army-Arnold,Jefferson,636-464-0787,Wed 9:30-11:00,"3740 Telegraph Road
Arnold, MO 63010
(38.406643, -90.37426)",
"Serve, Inc. - Food  Pantry",Callaway,573-642-6388,"Mon, Wed & Fri 9:00-12:00; 2nd & 4th Tues 5:00-6:00","4901 County Road 304
Fulton, MO 65251
(38.847159, -91.979588)",
Cam - Branson - Christian Action Ministries,Taney,417-334-1157,Mon-Fri 12:00-3:00,"610 South 6th Street
Branson, MO 65616
(36.639832, -93.222955)",
Memorial Blvd Christian Church,St. Louis City,314-367-6817,Tue and Thurs 2:00-4:00 Plus Emergencies,"3000 North Kingshighway
St. Louis, MO 63115
(38.672441, -90.254433)",
Christ Pilgrim Rest,St. Louis City,314-367-2974,Tues & 4th Thurs 8:00-10:00,"1341 North Kingshighway
St. Louis, MO 63113
(38.661008, -90.261902)",
Patee Park Baptist Church,Buchanan,816-233-2255,Mon & Thurs 10:30-12:00,"1107 South 10th
St. Joseph, MO 64501
(39.775559, -94.848217)",
Bread Of Life,Webster,417-859-3426,2nd Fri 10:00-2:00,"1061 State Highway A
Marshfield, MO 65706
(37.326817, -92.907089)",
Feeding Mo Co,Montgomery,636-544-4559,Tues 12:00-3:00 (TEFAP 3rd Tues),"100 Chamber Road
Montgomery City, MO 63361
(38.966842, -91.495169)",
Salvation Army - Temple Corp,St. Louis City,314-771-3460,Thurs 3:00-5:00,"2740 Arsenal
St. Louis, MO 63118
(38.599919, -90.227815)",
New Madrid Methodist,New Madrid,573-748-0454,Every Thurs 10:00-12:00,"627 Mill Street
New Madrid, MO 63869
(36.586121, -89.52884)",
Community Services - Gentry Co.     (Caa),Gentry,660-783-2004,"Mon, Wed, Fri 8:00-12:00, 1:00-4:30","301 East 2nd Street
Stanberry, MO 64489
(40.215169, -94.538628)",
Webster - Rock Hill Ministries,St. Louis Co,314-961-5082,Mon-Fri 9:00-12:00,"111 Waymire
Webster Groves, MO 63119
(38.606465, -90.353723)",
"House Of Bread, St. Francis",Buchanan,614-530-2879,"Tues, Thurs, Sat 9:00-10:30","1011 South 27th Street
St. Joseph, MO 64507
(39.757987, -94.827031)",
Guardian Angels Catholic Church,Jackson,816-931-4351,"Mon, Wed & Thurs 9:00-3:00","1310 Westport Road
Kansas City, MO 64111
(39.049994, -94.60244)",
St. Marys Food Pantry,Buchanan,816-279-1154,Tues & Sat 9:00-10:30,"1600 North 2nd
St. Joseph, MO 64505
(39.778435, -94.858099)",
The Help Center,Newton,417-451-0884,Mon 12:00-4:00; Tues-Thurs 9:00-3:00; closed 2nd Thurs & 4th Wed each month,"1321 North Business Highway 49
Neosho, MO 64850
(36.83527, -94.39405)",
Interserv,Buchanan,816-232-7779,Mon-Fri 1:00-3:45,"5400 King Hill Ave
St. Joseph, MO 64505
(39.719146, -94.862731)",
Community Helping Ministry,St. Louis Co,314-770-2216,"Mon-Thurs 10:00-2:00, Fri 10:00-12:00","3770 Mckelvey Road
Bridgeton, MO 63044
(38.752863, -90.423317)",
Catholic Social Ministries,Cape Girardeau,573-335-9347,Tues & Sat 8:30-11:30 except for the last full week of the month,"134 South Sprigg St
Cape Girardeau, MO 63703
(37.302185, -89.527301)",
Plattsburg Food Pantry,Clinton,816-539-3293,Thurs 8:30-11:15,"117 West Maple
Plattsburg, MO 64477
(39.566423, -94.44732)",
Shelby County Food Pantry,Shelby,573-424-9573,Fri after 1st Thurs 9:00-5:30,"403 East Maple Street
Shelbina, MO 63468
(39.69292, -92.032786)",
Crosslines - Lebanon,Laclede,417-588-3559,"Mon, Tues & Thurs 9:00-2:03, Wed 9:00-12:00","141 Lawson Road
Lebanon, MO 65536
(37.659871, -92.650278)",
Lexington Food Pantry,Lafayette,660-422-2986,4th Thurs 8:30-11:30,"914 Franklin Avenue
Lexington, MO 64067
(39.184546, -93.883803)",
Salvation Army - Gateway Corps,St. Louis Co,314-631-1133,"Mon & Tuesday 10:00-1:00, Wed 3:00-5:00","824 Union Road
St. Louis, MO 63125
(38.546219, -90.295979)",
Neelyville Food Pantry,Butler,573-857-2057,2nd Sat 8:00-10:00,"2 Park St. (Rear)
Neelyville, MO 63954
(36.5623689, -90.50964)",
Caruthersville Semo Pantry,Pemiscot,573-359-2356,3rd Tues 12:15-2:15,"608 N 6th St
Hayti, MO 63851
(36.2399654, -89.745441)",
Bismarck Church Of God Pantry,St. Francois,573-330-3996,2nd & 4th Sat 9:00-11:00,"1101 Gifford
Bismarck, MO 63660
(37.767218, -90.631273)",
"Food For Morgan Co, Inc",Morgan,573-789-7473,"1st Week Thurs 3:00-6:00, 2nd week Wed 10:00-2:00, 3rd Week Thurs 10:00-2:00, 4th Week Wed 10:00-2:00","1000 Jones Avenue
Versailles, MO 65084
(38.424617, -92.853076)",
Living Hope Food Pantry,Dekalb,816-449-2163,"Mon 11:00-4:00, Wed 9:00-2:00","118 West Main
Maysville, MO 64469
(39.889512, -94.359532)",
Cuba Ministerial Alliance Food Pantry,Crawford,573-885-6703,Wed 9:00-12:00 & Thurs 8:00-12:00 (Not first week of month),"302 W Spencer St.
Cuba, MO 65453
(38.062837, -91.405538)",
Zion Travelers,St. Louis Co,314-355-7252,Last Sat 8:00-12:00,"10014 Diamond Drive
St. Louis, MO 63137
(38.748643, -90.211157)",
St. Vincent Depaul,Butler,573-686-6991,Mon & Wed 1:00-4:00; Tues & Thurs 9:00-12:00,"213 S Broadway
Poplar Bluff, MO 63901
(36.755117, -90.394349)",
Good Shepherd Center,Osage,573-897-0525,Wed & Thurs 9:00-11:30,"1117 Adams Street
Linn, MO 65051
(38.475893, -91.841726)",
Blessed Teresa of Calcutta,St. Louis Co,314-524-0500,Tues 9:30-11:30,"120 North Elizabeth
Ferguson, MO 63135
(38.747355, -90.298871)",
Oregon County Food Pantry - Alton,Oregon,417-778-7450,1st Thurs 10:00-12:00,"407 South Market Street
Alton, MO 65606
(36.691425, -91.397083)",
Community Assistance Council,Jackson,816-763-3277,Mon-Fri 10:00-2:00,"10901 Blue Ridge Boulevard
Kansas City, MO 64134
(38.924069, -94.507241)",
Salisbury Food Pantry,Chariton,660-833-6505,3rd Mon 11:00-3:00,"311 East Patterson Avenue
Salisbury, MO 65281
(39.430058, -92.793802)",
Oasis Food Pantry,St. Charles,636-723-0037,"Tues & Thurs 7:00-8:30 PM, Thurs & Sat 10:00-11:30","1814 Boone's Lick Road
St. Charles, MO 63301
(38.776567, -90.50883)",
Cherith Brooks Food Pantry,Randolph,660-676-0681,Wed 10:00-12:00 & 1:30-4:00 & 5:00-7:00,"1614 US 24
Moberly, MO 65270
(39.447453, -92.407159)",
Community Services League (Main Office),Jackson,816-254-4100,Mon-Fri 9:00-12:00 & 1:00-3:00,"404 North Noland Road
Independence, MO 64050
(39.095265, -94.412922)",
Southern Stone County Food Pantry,Stone,417-739-4700,1st & 2nd Wed 9:00-12:00 & 1:00-3:00; 3rd Wed 9:00-11:00 only,"20 Kimberling Boulevard
Kimberling City, MO 65686
(36.634417, -93.420601)",
Seton Center,Jackson,816-231-3955,Mon-Fri 9:00-11:45 & 12:30 - 3:30,"2816 East 23rd
Kansas City, MO 64127
(39.084528, -94.54964)",
Cargill Cares Food Pantry,Moniteau,573-291-1397,"Thurs & Fri 3:00-5:00, 3rd Sat 9:00-11:00","303 Latham Road
California, MO 65018
(38.630044, -92.577081)",
Steelville Ministerial Alliance,Crawford,573-775-4664,Last Two Tues 2:00-4:00,"330 Perkins Lane
Steelville, MO 65565
(37.95912, -91.35658)",
Knox County Food Pantry,Knox,660-216-4846,1st Fri after 1st Thurs 7:30-2:30,"106 North 2nd Street
Edina, MO 63537
(40.1676, -92.173917)",
Benton County Food Pantry,Benton,816-392-5408,Mon-Thurs 9:00-12:00 & 1:00-3:00,"121 Tower Drive
Warsaw, MO 65355
(38.254361, -93.368843)",
Marble Hill Food Pantry,Bollinger,573-238-2201,3rd Tues 8:00-11:00,"305 West Main
Marble Hill, MO 63764
(37.301053, -89.980598)",
Ministry Center Food Pantry,Nodaway,660-562-9423,"Mon, Wed, Fri 2:00-4:00","971 South Main
Maryville, MO 64468
(40.336259, -94.873779)",
Good Samaritan - Richland,Pulaski,573-765-4477,2nd Tues 9:00-5:00,"112 West National Avenue
Richland, MO 65556
(37.857374, -92.399785)",
St. James Caring Center,Phelps,573-265-2047,Open Mon-Fri but USDA 3rd Thurs 7:30-10:30,"113 West Eldon
St. James, MO 65559
(37.998379, -91.61551)",
Helping Hands Outreach Center,Gasconade,573-437-8880,"Tues, Wed & Thurs 10:00-2:00, 1st Sat 10:00-12:00","3522 Kosark
Owensville, MO 65066
(38.343552, -91.510682)",
Metropolitan Lutheran Ministries,Clay,816-454-5295,Mon-Thurs 10:00-12:00 & 1:00-3:30,"1104 Northeast Vivion Road
Kansas City, MO 64024
(39.181092, -94.565813)",
Community Services League,Jackson,816-249-5820,Wed 8:00-12:00,"1001 South Sibley Street
Buckner, MO 64050
(39.124653, -94.19798)",
Calvary Temple,Jackson,816-726-1526,Tues 9:00-12:00,"5612 St. John Avenue
Kansas City, MO 64124
(39.112363, -94.516202)",
Ray County Senior Center,Ray,816-470-5808,3rd Wed 9:00-5:00 & then appt.,"1015 West Royal
Richmond, MO 64085
(39.274823, -93.989817)",
St. Louis Adventist Community Serv.,St. Louis Co,314-429-0216,Tues-Thurs 10:30-1:00,"3223 Woodson Road
St. Louis, MO 63114
(38.713014, -90.36023)",
Fayette Ministerial Alliance  Pantry,Howard,660-248-2209,4th Thurs 1:00-3:00,"600 North Morrison
Fayette, MO 65248
(39.143515, -92.689555)",Suite 13
Elvins Food Pantry,St. Francois,573-518-1266,Mon & Fri 9:00-1:00,"17 West Main
Park Hills, MO 63601
(37.849062, -90.517233)",
Salvation Army-O'Fallon,St. Charles,636-240-4969,"Mon, Thurs & Fri 10:00-12:00; 2nd Wed 5:30-7:30","1 William Booth Drive
O'Fallon, MO 63366
(38.799644, -90.690065)",
Heart Of The Hills Food Harvest,Douglas,417-683-6400,Mon & Fri 9:00-2:30,"913 Northwest 3rd Street
Ava, MO 65608
(36.959327, -92.661623)",
Lean On Me Pantry,Ripley,573-778-9908,2nd & 4th Mon 11:00-2:00,"202 West Highway Street
Doniphan, MO 63901
(36.626091, -90.828653)",
Victory Christian Fellowship Fp,Ripley,573-300-1158,Sat 8:00-10:00,"HC-1 Highway 160
Fairdealing, MO 63939
(36.66314, -90.62678)","Box 783,"
Loving Hearts Outreach,Franklin,636-390-8300,"Mon, Wed, Fri 9:00-2:00","1902 West Main
Washington, MO 63090
(38.575706, -91.041036)",
Grace United Church,Jackson,816-231-5745,Mon-Thurs 10:00-2:00,"801 Benton Boulevard
Kansas City, MO 64124
(39.102994, -94.544235)",
T.E.A.M.  (The Emer. Assistance Ministry),St. Louis Co,314-831-0879,Mon-Fri 10:00-2:00; Sat 10:00-12:00,"265 Saint Catherine Rue
Florissant, MO 63031
(38.79435, -90.331151)",
United Community Help Center,Texas,573-674-4184,1st Fri of each month 8:00-11:00,"209 Park Street
Licking, MO 65542
(37.492793, -91.864057)",
West Central Mo - St. Clair County  (Caa),St. Clair,660-476-2185,2nd & 3rd Wed 8:00-4:30,"106 West 4th Street
Appleton City, MO 64724
(38.190543, -94.028049)",
House Of Hope,Cape Girardeau,573-335-4858,3rd Mon 5:30-6:30,"1000 Ranney
Cape Girardeau, MO 63703
(37.290364, -89.527754)",
